Engine_Type,MTOW_kg,Range_km,Fuel_Consumption_Rate_kg_hr,Cruise_Speed_knots,Cruising_Altitude_ft,Climb_Rate_ft_min,Descent_Rate_ft_min,Landing_Weight_kg,Engine_Efficiency_TSFC,Aerodynamic_Efficiency_LD,Payload_kg,ETOPS_min,APU_Fuel_kg_hr,Wing_Span_m,Fuel_Capacity_L,Flap_Slat_Degrees,Avionics
Jet,147090.47,2000.0,10000.0,497.07,37739.37,1300.55,725.06,132246.83,0.65,14.24,46576.67,240,37.8,30.0,47104.01,23.39,Legacy
Jet,91551.08,15000.0,10000.0,467.23,35028.17,1825.05,1424.08,77437.95,0.63,12.4,22319.19,120,39.09,80.0,20000.0,25.27,Modern
Jet,81941.37,2000.0,10000.0,376.21,36649.08,1615.93,1092.89,70550.57,0.54,13.6,21440.74,180,81.89,30.0,27271.89,2.81,Legacy
Turboprop,25027.07,3000.0,1000.0,251.69,20950.21,1558.48,1066.34,20498.99,0.42,12.89,6853.63,0,27.31,30.0,9303.55,10.33,Legacy
Turboprop,18324.41,2775.51,50.0,260.6,18963.01,1352.08,937.32,14937.01,0.32,12.64,7633.04,0,29.92,30.0,4343.2,6.78,Modern
Jet,128797.84,3369.06,10000.0,391.01,31054.68,1093.11,579.13,103994.27,0.42,15.09,64138.22,120,9.14,30.0,47165.1,17.42,Modern
Jet,72438.78,8414.32,3987.37,487.6,35786.06,1932.63,1264.47,66049.57,0.52,13.48,16199.19,240,36.02,80.0,24323.11,31.81,Modern
Piston,2899.37,300.0,97.08,150.94,11024.99,682.74,446.36,2381.13,0.5,11.32,1132.27,0,-0.65,8.0,211.42,6.4,Legacy
Jet,88468.96,5731.36,1000.0,560.43,37941.44,2348.03,1258.65,83796.54,0.76,14.04,18167.81,60,38.14,80.0,33314.14,14.13,Modern
Jet,116669.77,9814.56,10000.0,419.22,31948.78,2624.64,1651.12,99354.74,0.54,10.54,57068.26,240,59.23,80.0,27514.46,31.75,Modern
Jet,102543.8,2000.0,10000.0,499.26,32957.4,3596.39,2037.75,87229.76,0.46,15.55,47980.43,120,37.0,80.0,39217.86,16.32,Modern
Turboprop,21580.39,3000.0,1000.0,291.08,20616.86,1851.34,1444.89,18176.83,0.35,8.25,8389.4,0,15.65,15.0,5968.73,7.71,Modern
Turboprop,22109.12,500.0,1000.0,287.48,16812.41,1591.51,1031.37,18614.97,0.39,10.8,6592.04,0,-1.71,30.0,5826.45,39.77,Modern
Jet,102965.31,14971.88,8025.28,496.91,40894.48,1928.23,1395.33,85880.12,0.83,14.63,30181.51,120,60.34,30.0,38089.55,10.47,Modern
Jet,112821.32,9541.94,10000.0,504.08,36183.09,1108.88,618.49,96607.29,0.51,13.06,23603.3,60,89.72,30.0,35007.13,5.67,Modern
Turboprop,26706.53,2461.8,1000.0,235.13,19161.49,2129.57,1478.42,23286.68,0.35,9.3,7144.94,0,-1.37,15.0,6839.83,39.47,Modern
Turboprop,12514.15,1219.1,50.0,252.92,18695.2,1240.24,868.68,10649.79,0.44,12.76,4407.17,0,15.52,15.0,3095.64,15.66,Modern
Jet,112767.37,15000.0,10000.0,542.07,36335.18,2617.88,1429.15,94856.25,0.61,17.62,27368.29,180,63.31,80.0,44939.14,6.99,Modern
Piston,8595.97,1500.0,20.0,120.02,11488.65,719.27,560.91,7315.68,0.47,12.58,1867.93,0,18.93,8.0,1000.0,28.94,Modern
Jet,69277.81,2000.0,3828.86,370.06,34288.93,3411.99,2568.65,63223.2,0.73,14.8,31167.29,60,47.36,80.0,20000.0,28.84,Legacy
Jet,41376.02,3356.91,10000.0,498.6,38460.36,1649.44,904.83,38966.36,0.56,14.59,17626.81,60,83.52,30.0,20000.0,36.81,Legacy
Piston,8562.27,1500.0,200.0,108.25,9991.26,908.85,574.03,7558.36,0.44,13.17,4047.5,0,10.57,15.0,100.0,30.8,Modern
Jet,137376.4,10179.35,1000.0,552.74,32123.46,1390.99,846.68,129455.73,0.48,13.13,57743.42,240,23.2,30.0,47911.49,8.07,Legacy
Turboprop,14877.87,500.0,50.0,255.24,19944.92,1074.36,673.59,12424.03,0.33,11.87,4644.5,0,20.38,15.0,4341.5,13.85,Modern
Jet,60966.75,9485.7,3663.36,574.13,32873.27,1570.57,1055.01,52286.68,0.7,15.09,30479.87,240,55.67,80.0,20000.0,39.96,Legacy
Jet,89179.58,2000.0,10000.0,437.5,35553.63,2270.58,1636.22,73776.52,0.37,15.96,25316.5,240,25.33,30.0,20000.0,26.28,Modern
Piston,7704.52,540.92,200.0,113.51,10304.46,1144.02,794.11,6787.81,0.46,13.33,3031.35,0,31.98,15.0,100.0,4.37,Modern
Jet,134793.16,2000.0,10000.0,425.75,36019.66,2127.02,1087.15,108541.81,0.42,15.33,61885.55,180,32.74,30.0,20000.0,10.41,Modern
Turboprop,23792.61,2962.96,50.0,219.95,20529.44,1525.17,932.52,21541.31,0.45,11.66,7026.11,0,8.02,15.0,4051.07,22.9,Modern
Jet,136973.62,2000.0,10000.0,428.9,35092.93,2258.69,1645.96,112410.27,0.68,11.93,65184.08,120,44.62,30.0,33488.69,15.6,Modern
Jet,106089.51,8676.58,10000.0,464.68,31611.11,1170.63,860.28,93597.16,0.61,16.01,47620.76,240,25.17,30.0,26689.47,32.92,Legacy
Jet,130948.69,2898.17,8890.85,453.17,34555.49,2085.25,1385.1,110863.78,0.68,17.11,56702.75,240,81.4,30.0,20000.0,1.66,Modern
Turboprop,22644.24,500.0,1000.0,298.91,18507.45,1959.44,1410.46,19875.01,0.45,11.85,9480.63,0,1.48,30.0,5010.36,26.68,Modern
Jet,120439.24,2000.0,1000.0,418.99,37278.1,1916.01,1180.2,107631.84,0.53,13.64,30017.44,330,5.38,30.0,23581.19,15.69,Legacy
Turboprop,16995.15,500.0,1000.0,236.61,20892.45,1536.18,825.61,13937.99,0.39,16.19,3637.95,0,17.56,15.0,6745.34,3.59,Legacy
Jet,90181.75,2000.0,1000.0,550.39,35081.33,2321.06,1791.83,78955.04,0.55,12.7,25863.01,60,48.34,30.0,21994.06,26.89,Modern
Piston,3519.91,611.78,91.15,93.32,10945.53,1050.33,616.8,3269.5,0.51,11.31,1055.12,0,-1.58,15.0,100.0,11.51,Legacy
Jet,126540.91,4324.2,1000.0,474.78,33194.14,1868.48,1149.03,111985.3,0.44,15.12,52993.3,120,47.31,30.0,35076.74,33.38,Modern
Turboprop,9938.26,2660.69,986.37,253.08,18217.28,1368.58,729.26,8818.18,0.43,10.91,3483.71,0,20.12,30.0,2651.92,31.55,Modern
Turboprop,23847.53,500.0,700.7,269.99,20469.54,1392.5,1090.69,21011.18,0.34,14.24,11102.9,0,0.47,15.0,1849.85,12.86,Modern
Turboprop,16169.56,3000.0,502.78,212.13,17354.92,1256.72,927.87,15214.2,0.4,12.58,7156.77,0,16.83,30.0,2701.84,23.73,Legacy
Turboprop,7840.74,500.0,526.02,256.0,22622.18,1641.62,1286.76,6840.82,0.42,10.57,3678.3,0,13.41,30.0,1000.0,5.95,Modern
Turboprop,22982.72,500.0,50.0,304.77,17487.64,912.01,515.27,19926.21,0.34,10.57,5287.55,0,17.55,30.0,1000.0,7.91,Modern
Turboprop,18707.12,3000.0,1000.0,291.86,17628.89,1621.14,1099.72,16343.02,0.38,10.62,6107.93,0,21.38,15.0,2004.2,36.92,Legacy
Jet,145180.38,15000.0,4808.44,439.07,34760.27,1162.73,908.36,133901.83,0.52,15.38,37465.88,120,34.37,80.0,34127.65,27.07,Modern
Jet,132597.39,2904.18,10000.0,471.92,36724.17,1778.62,1267.59,109200.63,0.51,16.73,30196.8,180,57.07,80.0,39667.86,11.21,Modern
Piston,4819.69,1064.97,20.0,130.5,9615.63,658.83,466.49,4032.32,0.56,11.69,2027.71,0,15.6,15.0,600.84,36.03,Legacy
Turboprop,19348.03,3000.0,1000.0,247.36,19892.91,1580.31,858.68,16666.69,0.47,11.67,8669.41,0,34.18,30.0,5211.17,17.51,Modern
Turboprop,22660.41,500.0,50.0,294.09,25987.81,1357.36,749.27,19829.77,0.37,9.71,7207.25,0,5.01,15.0,2671.23,39.94,Modern
Jet,75934.47,2000.0,7361.7,509.83,33906.72,1701.94,1060.89,64995.64,0.51,13.01,15610.05,180,66.42,30.0,20000.0,19.59,Modern
Jet,52287.56,3448.29,2361.55,452.79,34877.82,1813.64,1317.62,42370.31,0.4,16.11,19641.26,180,40.27,30.0,20000.0,26.11,Modern
Jet,120779.54,15000.0,1000.0,423.74,37864.35,2308.08,1467.51,105602.95,0.65,14.06,25483.13,120,65.9,80.0,37887.45,35.19,Legacy
Turboprop,14319.7,500.0,50.0,256.98,18369.72,1454.98,803.88,12502.13,0.38,13.64,3299.52,0,16.4,30.0,4966.23,25.69,Modern
Jet,41967.01,6781.14,6328.44,351.05,32897.3,2217.91,1473.22,39240.67,0.6,16.94,9078.07,120,53.05,80.0,20000.0,25.13,Modern
Jet,83958.88,2000.0,1000.0,435.6,41477.43,592.41,377.88,73262.75,0.74,15.25,34207.64,180,79.08,80.0,20000.0,35.57,Modern
Jet,118773.3,2000.0,2482.87,423.46,34397.96,2273.88,1418.41,101888.35,0.6,13.73,30003.69,60,52.76,80.0,20000.0,9.08,Modern
Jet,142347.9,2000.0,10000.0,519.44,31144.8,1252.2,990.58,129277.85,0.6,14.5,63288.99,330,49.57,80.0,20939.3,1.14,Modern
Jet,98381.79,3865.47,1088.89,408.9,30149.19,2701.9,1475.78,87142.78,0.5,14.14,30507.23,180,67.79,80.0,20000.0,16.82,Modern
Jet,37274.36,6257.73,3440.78,437.42,38328.15,1464.42,758.66,29943.83,0.47,16.77,17769.17,240,50.31,30.0,20000.0,19.73,Legacy
Turboprop,25012.88,2962.12,50.0,300.5,19667.7,1524.09,1164.47,22549.75,0.38,11.67,6033.86,0,29.29,30.0,5501.82,25.21,Legacy
Jet,103171.13,2000.0,10000.0,507.56,38126.63,2146.02,1263.25,91245.14,0.55,19.68,47107.58,330,65.13,80.0,29523.23,37.27,Modern
Jet,139063.47,14531.25,7107.66,428.65,33948.19,1338.65,869.69,125316.79,0.65,13.76,51773.21,120,27.37,80.0,37628.59,6.21,Modern
Jet,80752.99,2000.0,10000.0,432.21,32578.42,2164.13,1441.01,70534.46,0.45,17.37,28337.33,330,23.99,30.0,29165.16,27.23,Modern
Jet,101408.53,12489.42,1000.0,384.35,34463.57,2521.63,1740.68,90768.42,0.72,13.83,48148.98,330,32.85,30.0,38534.26,7.34,Modern
Jet,73028.54,4053.52,1000.0,506.6,36145.63,2646.88,2060.05,63639.68,0.57,15.37,19040.27,60,20.2,30.0,23696.26,7.52,Legacy
Jet,102245.63,2000.0,1000.0,472.5,32586.96,1234.84,793.66,93122.72,0.77,12.51,41287.46,180,31.2,80.0,37643.38,38.37,Modern
Turboprop,22214.27,2596.4,1000.0,255.42,17074.14,1652.09,883.92,18155.95,0.41,12.8,6882.83,0,11.5,15.0,7507.83,7.95,Modern
Jet,80880.05,15000.0,10000.0,464.85,40587.18,1942.23,1368.86,65997.23,0.6,14.16,28316.87,240,35.27,30.0,33889.63,27.2,Legacy
Turboprop,28521.14,3000.0,1000.0,216.13,22236.45,1441.53,862.3,26897.0,0.37,11.57,9768.73,0,26.01,15.0,9450.11,19.75,Modern
Turboprop,21564.79,3000.0,50.0,211.8,19329.82,1507.12,1034.98,18079.04,0.4,12.22,10587.49,0,16.93,30.0,5342.05,34.43,Modern
Turboprop,23235.03,500.0,1000.0,238.99,18375.54,1665.29,1236.29,21519.61,0.41,13.12,8683.67,0,16.39,15.0,3449.93,14.69,Modern
Jet,103454.64,2747.31,1000.0,516.1,32485.98,2393.4,1807.11,86033.1,0.57,18.37,41593.79,240,57.05,80.0,24888.69,13.89,Legacy
Jet,114386.44,14578.5,1000.0,511.66,34673.78,2319.82,1488.25,100216.34,0.66,15.15,43747.85,330,-5.75,80.0,45169.86,7.22,Modern
Jet,128909.82,2000.0,1000.0,534.94,39361.52,1885.1,1158.61,116547.59,0.54,18.49,32162.32,180,101.87,30.0,20000.0,24.92,Modern
Jet,117936.39,15000.0,5554.49,399.84,33443.57,2127.19,1692.85,110863.24,0.49,17.46,35455.12,240,78.2,80.0,24243.67,4.94,Legacy
Piston,5705.87,300.0,200.0,82.23,9732.09,976.13,557.95,4799.68,0.46,11.31,2491.58,0,21.29,8.0,100.0,21.85,Legacy
Jet,120675.17,2000.0,1000.0,442.87,37435.24,2390.84,1399.44,114535.28,0.59,14.39,50238.24,330,57.96,30.0,24573.62,15.51,Legacy
Jet,91156.37,15000.0,10000.0,434.24,33643.6,3566.16,2281.58,86219.87,0.44,14.82,25612.71,180,90.59,30.0,20000.0,4.22,Legacy
Turboprop,20989.14,500.0,50.0,214.07,20962.95,1677.47,1126.06,18416.48,0.52,11.64,8388.48,0,55.43,15.0,4518.34,19.99,Modern
Turboprop,20143.14,702.95,1000.0,244.4,22652.49,1741.33,968.52,16143.27,0.41,13.71,9094.98,0,17.5,30.0,4601.17,7.41,Modern
Jet,104625.58,15000.0,10000.0,474.08,33713.62,1829.99,980.27,84394.8,0.53,13.72,37093.45,180,44.2,30.0,37689.89,37.83,Modern
Jet,87037.37,4398.97,10000.0,514.1,34661.47,1896.81,1445.74,72501.74,0.48,16.21,37510.71,120,81.4,30.0,21334.98,37.88,Modern
Jet,91977.62,2991.41,1000.0,494.67,35634.38,2388.52,1428.48,73601.72,0.27,16.8,27775.74,330,70.72,30.0,30570.75,18.57,Legacy
Jet,131996.54,2000.0,1000.0,374.88,28885.61,1849.91,1472.75,115296.04,0.6,15.47,53418.65,330,13.89,80.0,55748.21,5.01,Modern
Jet,81406.38,10666.75,10000.0,444.06,38595.43,2449.24,1535.1,71509.25,0.52,16.67,33185.37,60,27.65,80.0,35658.18,16.57,Modern
Jet,63329.08,2000.0,3236.77,538.55,31068.61,2543.52,1788.09,54102.87,0.55,16.49,18357.22,240,43.16,30.0,20000.0,5.48,Modern
Jet,97721.37,13001.88,1000.0,442.29,37712.58,2541.91,1774.11,84926.67,0.7,12.23,42277.55,60,47.46,30.0,20000.0,14.53,Legacy
Jet,132236.76,2000.0,1000.0,407.79,36702.87,1208.52,779.62,119098.63,0.47,19.25,58775.49,330,51.83,80.0,21301.73,13.33,Legacy
Jet,163320.53,6583.87,7860.63,401.08,34882.05,1912.71,980.59,143107.35,0.66,12.01,81452.93,120,40.95,80.0,27979.66,30.19,Modern
Jet,34412.57,2000.0,1000.0,440.29,35033.0,1832.61,1080.3,27786.21,0.73,10.9,15208.15,60,75.22,80.0,20000.0,2.2,Modern
Jet,63116.18,3542.06,8980.83,477.72,33446.8,2886.58,2229.95,59429.12,0.54,13.35,21446.4,120,44.78,30.0,20000.0,15.1,Modern
Turboprop,18549.12,1938.34,50.0,199.92,21302.98,1707.74,1196.44,17394.82,0.44,12.93,5963.66,0,5.87,15.0,3671.54,25.41,Modern
Turboprop,28640.32,1986.41,50.0,255.84,19639.68,1379.53,1009.74,25937.28,0.32,12.83,6796.23,0,23.27,15.0,2547.62,7.71,Legacy
Jet,103202.62,15000.0,10000.0,539.62,34471.8,2053.04,1381.95,85162.52,0.69,14.55,37759.28,60,19.59,30.0,35449.2,10.98,Modern
Jet,94055.15,2000.0,10000.0,520.69,37076.66,2467.89,1643.66,87563.14,0.56,13.02,35975.82,240,38.85,80.0,20000.0,3.01,Modern
Jet,94943.38,14132.15,1000.0,445.33,32688.74,1726.46,1328.47,78850.58,0.63,13.41,27082.21,330,74.51,30.0,42803.98,29.44,Legacy
Turboprop,24435.51,3000.0,1000.0,237.56,20229.7,1997.97,1303.05,22686.83,0.54,13.09,9466.19,0,15.86,30.0,6195.76,17.76,Modern
Turboprop,22743.68,500.0,50.0,214.09,18097.66,1782.11,1228.97,21141.68,0.41,11.09,9938.75,0,7.73,15.0,6108.22,29.56,Modern
Jet,110165.41,2237.68,10000.0,413.12,31105.42,2406.16,1776.14,97016.68,0.51,14.03,26266.85,180,23.42,30.0,38057.38,25.87,Modern
Piston,3638.36,1123.33,20.0,93.51,9218.71,734.44,461.44,3257.16,0.47,12.11,1629.4,0,33.58,15.0,455.26,39.69,Modern
Jet,33404.65,3588.81,3541.57,395.41,36078.88,2057.76,1587.42,27992.59,0.67,17.53,7533.34,330,40.81,80.0,20000.0,36.79,Modern
Jet,73423.96,2000.0,1000.0,573.7,32186.94,2706.72,1551.81,60382.09,0.63,11.88,31599.74,120,76.53,30.0,20000.0,21.46,Modern
Turboprop,32017.57,500.0,1000.0,254.24,23770.68,1218.42,844.6,27072.96,0.45,13.11,15074.72,0,19.45,15.0,7115.33,12.84,Modern
Turboprop,14357.11,500.0,50.0,236.69,17333.29,1430.27,950.8,12333.2,0.4,14.03,6281.31,0,25.59,15.0,4059.68,20.75,Modern
Turboprop,14773.41,3000.0,50.0,224.18,23207.27,1468.57,1129.15,13158.2,0.43,10.97,5932.37,0,30.3,15.0,1936.27,26.75,Legacy
Turboprop,22921.05,1274.5,1000.0,243.13,20806.88,1720.54,872.71,19686.14,0.4,11.16,10158.03,0,33.27,30.0,3477.2,30.01,Modern
Jet,118219.67,15000.0,10000.0,354.76,38932.43,2401.19,1284.85,108267.06,0.52,14.87,41465.56,240,47.76,30.0,43159.86,33.5,Modern
Turboprop,23944.49,2622.12,1000.0,271.5,22814.23,1108.47,885.48,20883.54,0.37,13.55,10983.41,0,16.62,30.0,6706.09,9.31,Modern
Jet,98199.51,9674.67,4907.39,443.33,38926.75,2282.8,1590.74,80947.78,0.45,15.15,33606.04,60,74.85,80.0,35290.85,32.43,Legacy
Turboprop,17446.76,977.56,50.0,245.99,19225.3,1582.81,1034.03,15411.98,0.51,10.78,4077.85,0,-0.66,30.0,6645.15,33.38,Legacy
Jet,113722.25,15000.0,1000.0,576.46,33257.11,1328.39,900.91,92532.37,0.66,14.83,54103.54,240,57.96,80.0,40026.59,8.82,Legacy
Turboprop,24651.49,2027.28,1000.0,264.65,16819.45,1198.19,709.08,21985.49,0.43,12.56,9265.75,0,9.49,30.0,8898.42,13.52,Modern
Jet,95686.4,2000.0,4966.56,509.29,30684.09,2063.55,1524.95,81096.16,0.49,15.22,47612.59,180,25.88,80.0,37206.76,7.02,Legacy
Turboprop,20274.84,2008.12,50.0,280.17,21066.68,1721.62,1200.66,18023.42,0.4,14.62,6613.74,0,20.55,15.0,3785.86,0.17,Modern
Jet,130376.21,2000.0,7892.99,402.1,37851.25,1527.43,986.25,122268.38,0.6,17.64,57000.16,120,22.05,80.0,41637.87,33.96,Modern
Turboprop,10006.89,2470.01,779.04,266.33,22979.3,1004.48,511.78,9204.83,0.38,10.96,4017.49,0,7.99,15.0,2744.17,12.77,Modern
Jet,83678.67,2000.0,1000.0,423.38,33592.77,2717.1,1669.5,74113.57,0.59,15.17,34197.54,240,39.21,30.0,26146.25,21.19,Legacy
Jet,105915.34,15000.0,4858.59,492.42,32085.89,1682.02,1237.55,98875.85,0.54,12.82,35832.25,330,51.51,80.0,37113.03,38.19,Modern
Jet,27864.45,2000.0,1000.0,474.93,36911.48,1786.83,1389.5,24170.06,0.6,9.96,5914.5,60,23.82,80.0,20000.0,22.38,Modern
Jet,132676.67,2000.0,4073.18,487.78,35099.68,1475.4,888.06,114674.24,0.56,17.63,35425.69,180,41.51,30.0,23009.67,18.82,Modern
Turboprop,14974.99,1227.71,50.0,214.34,19548.35,1297.08,928.08,13403.18,0.26,10.44,5585.06,0,17.33,15.0,1536.0,34.74,Modern
Jet,86540.47,9845.51,5270.92,418.88,35817.83,1657.08,956.57,78924.13,0.69,16.57,24616.1,120,49.56,30.0,20000.0,1.74,Modern
Piston,5016.12,406.32,20.0,73.35,9166.81,963.14,534.45,4329.31,0.53,11.27,2414.93,0,20.14,15.0,464.23,18.77,Legacy
Jet,116538.47,2000.0,10000.0,509.64,34203.31,2496.34,1703.76,99203.22,0.43,13.42,39602.39,180,75.99,80.0,50812.08,2.57,Modern
Jet,72962.42,2000.0,10000.0,395.14,29535.22,2847.32,1625.15,64271.87,0.55,14.03,15348.73,180,18.31,30.0,20000.0,10.55,Legacy
Turboprop,16355.13,500.0,50.0,256.86,19440.86,1295.79,1029.46,13757.81,0.42,9.95,7484.8,0,21.8,30.0,1948.24,12.78,Modern
Turboprop,25639.43,500.0,50.0,215.97,17567.87,1269.25,811.64,23635.58,0.48,13.62,5905.85,0,21.63,30.0,3777.23,24.1,Legacy
Jet,135560.49,6404.89,6984.85,430.28,37036.81,1273.91,788.23,112223.52,0.55,14.83,54585.63,330,28.82,30.0,54206.2,14.75,Modern
Jet,146837.54,4722.66,1000.0,363.45,33998.56,1275.77,928.98,118806.1,0.57,13.08,34963.16,180,56.28,30.0,56963.84,38.22,Modern
Turboprop,29489.43,1234.87,341.59,257.16,21928.87,1172.52,857.89,24988.24,0.41,12.27,13178.76,0,14.71,15.0,5097.15,36.29,Legacy
Jet,121581.08,2000.0,10000.0,469.47,30677.8,2167.72,1412.22,106736.96,0.42,16.31,54099.86,120,24.3,80.0,37545.71,7.95,Legacy
Piston,4168.36,572.44,200.0,124.26,12324.0,1255.35,942.56,3755.39,0.48,10.65,1397.4,0,31.53,15.0,100.0,4.82,Modern
Piston,3583.13,555.23,20.0,145.09,9930.38,701.19,427.68,3057.34,0.48,10.44,1178.6,0,11.53,8.0,100.0,24.54,Modern
Turboprop,26141.99,500.0,1000.0,328.9,21180.42,1442.38,1036.8,21288.31,0.39,12.5,11226.53,0,2.08,30.0,6257.51,1.34,Modern
Jet,46397.69,2000.0,3029.83,421.39,32013.08,1916.44,1309.19,38155.11,0.51,15.06,12502.8,120,51.9,30.0,20000.0,8.73,Modern
Turboprop,28322.18,3000.0,1000.0,237.07,21236.85,1649.29,881.79,24494.53,0.34,12.34,6536.67,0,8.46,15.0,8764.09,8.08,Modern
Jet,82325.19,4340.94,10000.0,449.98,35185.81,1887.57,1418.23,74377.38,0.5,13.91,25942.98,240,58.16,80.0,32055.58,18.99,Modern
Jet,175842.83,14282.0,10000.0,377.26,32101.95,2027.52,1415.64,166466.95,0.43,12.98,43231.08,240,42.83,80.0,35130.96,14.51,Legacy
Jet,98575.51,7587.94,2644.29,463.66,33256.08,1965.9,1124.02,87597.93,0.56,13.2,44072.84,60,87.62,80.0,36473.36,12.06,Legacy
Jet,91672.59,2000.0,1000.0,385.8,33576.06,2653.97,1330.49,86404.35,0.58,16.81,33087.71,60,40.19,80.0,29267.2,32.3,Legacy
Turboprop,9899.24,500.0,1000.0,232.03,22528.95,1316.75,699.42,9223.38,0.39,12.57,2726.74,0,8.25,30.0,2079.53,6.87,Legacy
Turboprop,14665.25,1888.99,314.17,218.08,20491.22,1555.68,909.75,12448.09,0.4,9.45,3383.31,0,20.93,30.0,5815.79,6.26,Modern
Turboprop,19240.51,1416.6,1000.0,241.06,20400.02,1775.59,1113.93,17492.49,0.36,11.96,6986.23,0,22.05,30.0,7241.88,25.7,Legacy
Jet,119756.23,7910.69,1000.0,444.15,36166.47,2391.42,1627.87,106220.07,0.39,11.33,32769.79,330,24.43,30.0,38231.2,13.24,Modern
Jet,123561.98,2000.0,1000.0,496.22,30992.39,2223.82,1553.99,110013.42,0.55,14.58,35895.72,120,45.75,80.0,45360.79,16.09,Modern
Jet,79984.97,2000.0,1000.0,473.68,35441.18,2490.39,1927.85,68974.45,0.62,16.75,17687.64,180,89.22,80.0,20000.0,29.22,Modern
Piston,2990.37,690.35,20.0,127.31,9472.0,1105.16,566.8,2790.99,0.51,13.29,1090.26,0,9.05,8.0,100.0,8.42,Modern
Jet,85088.06,2000.0,5001.73,509.73,34062.22,1377.05,863.34,70543.88,0.53,15.53,30201.34,120,-29.35,80.0,20004.8,9.0,Modern
Turboprop,12677.15,897.61,806.48,271.06,20474.88,1144.22,820.37,12011.92,0.27,10.11,3674.61,0,5.69,15.0,1858.5,24.43,Legacy
Jet,117847.3,15000.0,10000.0,518.94,26999.48,2468.97,1941.46,95998.99,0.61,15.24,37421.86,240,52.54,80.0,50254.61,17.89,Modern
Jet,125513.14,2000.0,1000.0,386.12,32394.93,1222.87,794.27,105032.5,0.44,16.33,27783.76,330,18.88,30.0,32772.38,6.4,Legacy
Turboprop,13762.86,1362.84,350.89,325.57,20253.48,1386.28,1055.02,12484.47,0.41,11.56,6749.33,0,21.11,30.0,2684.27,36.72,Modern
Jet,103013.57,2000.0,1000.0,518.63,35098.2,1436.25,782.87,86392.24,0.43,16.44,37734.49,60,55.76,30.0,37283.14,12.17,Modern
Turboprop,24759.35,2969.94,50.0,193.45,21298.66,1704.91,1029.29,23521.01,0.4,12.82,10321.63,0,26.04,15.0,8402.59,26.78,Modern
Piston,2792.04,576.31,90.01,95.23,9603.07,1016.99,531.62,2522.86,0.51,13.5,861.15,0,35.02,8.0,100.0,13.53,Modern
Jet,95866.39,15000.0,10000.0,347.37,35637.58,2473.28,1401.04,79913.25,0.6,15.65,40638.06,60,33.34,30.0,20000.0,27.07,Legacy
Jet,86974.35,2000.0,1000.0,415.27,34871.23,1422.51,868.61,71738.57,0.57,16.3,18705.03,240,35.13,30.0,29358.82,22.92,Legacy
Jet,162218.71,2000.0,1000.0,446.95,34820.75,2830.45,1915.42,130335.73,0.56,14.44,67342.72,120,42.64,30.0,21116.01,12.53,Modern
Piston,2899.87,545.24,200.0,91.35,10880.98,976.35,682.86,2386.1,0.36,12.85,936.23,0,9.94,8.0,100.0,12.99,Legacy
Jet,126049.13,15000.0,1000.0,446.02,33532.88,2480.3,1532.07,113287.32,0.59,17.02,26431.02,60,65.96,30.0,35999.48,15.23,Legacy
Turboprop,24152.86,1051.01,919.23,268.06,19332.88,929.0,717.99,20128.26,0.37,11.93,6049.53,0,34.79,15.0,9005.46,8.54,Modern
Turboprop,21562.45,500.0,599.13,257.74,22455.73,1478.05,864.43,18609.6,0.37,10.11,9443.66,0,17.41,15.0,3861.94,34.06,Modern
Turboprop,24034.43,3000.0,1000.0,270.56,20685.22,1536.26,1158.96,21846.84,0.38,13.04,7953.26,0,17.91,30.0,4238.59,23.86,Modern
Jet,82375.89,2000.0,8146.99,532.09,38218.4,838.04,496.21,72252.77,0.62,14.46,38225.32,120,37.43,80.0,27141.73,28.48,Legacy
Turboprop,17918.33,1970.22,50.0,223.23,19217.37,1446.17,836.46,15749.7,0.41,13.49,6722.11,0,26.86,15.0,1000.0,26.4,Modern
Piston,4163.47,477.51,20.0,111.32,8497.43,599.19,432.38,3388.27,0.55,14.02,1700.39,0,18.33,8.0,100.0,2.31,Modern
Jet,165366.86,8253.08,10000.0,402.62,31488.16,2747.91,1693.17,156929.12,0.59,13.52,79732.08,240,24.55,30.0,30655.11,4.77,Legacy
Jet,85868.69,2000.0,1000.0,401.41,35932.78,2321.57,1167.82,69083.56,0.28,16.32,34567.91,240,47.73,80.0,26385.96,26.38,Modern
Piston,2160.14,394.54,200.0,122.42,7945.14,1097.32,550.73,2041.54,0.48,11.98,776.94,0,7.44,15.0,198.5,23.85,Modern
Jet,70563.47,5076.27,8848.78,495.8,39836.13,2790.23,1785.04,58128.78,0.64,12.86,22702.2,180,22.44,80.0,21789.65,38.07,Modern
Turboprop,23192.21,1831.36,1000.0,247.78,19562.86,1117.63,835.22,19031.93,0.37,10.02,8413.03,0,19.46,15.0,7047.96,7.82,Modern
Jet,110154.63,15000.0,10000.0,485.28,35393.68,1512.95,914.2,97028.63,0.66,15.87,37512.88,240,39.88,30.0,25140.75,18.18,Legacy
Jet,154432.15,14448.82,10000.0,355.44,32174.75,2523.82,1933.58,130769.98,0.62,18.85,50474.83,330,57.71,80.0,48002.15,32.65,Legacy
Turboprop,22421.76,713.21,676.36,278.31,19870.24,1552.4,793.05,19811.0,0.32,13.15,9683.47,0,10.01,15.0,1000.0,22.78,Modern
